"file","lhs","op","rhs","beta","beta.std","se","z","pval","level"
"sub85","X6","~","X5",0.363966340522023,0.364886866457606,0.0480541167930894,7.59324883711276,3.13082892944294e-14,"group"
"sub85","X8","~","X7lag",0.187486283452277,0.187598479300413,0.0565869407643604,3.31522568222254,0.000915691649406858,"group"
"sub85","X5","~","X4",0.26875703700649,0.266793255899616,0.0479984495926008,5.55837236752629,2.72301967640942e-08,"group"
"sub85","X7","~","X6lag",0.277359592543348,0.277562603545954,0.0555780307868216,4.99410647726239,5.91087821133485e-07,"group"
"sub85","X3","~","X2lag",0.200089013102013,0.199561965965462,0.0542077194474635,3.68143076299071,0.000231928774888424,"group"
"sub85","X4","~","X3lag",0.208874199959685,0.209659416304023,0.0562583157252668,3.72672757086932,0.000193981929607068,"group"
"sub85","X6","~","X4lag",0.229251304419504,0.22927958528987,0.0488872578756178,4.68996616405073,2.73250230398148e-06,"ind"
"sub86","X1","~","X1lag",0.210243785091245,0.210217178708933,0.0552758234029932,3.80305829505834,0.000142920707238536,"group"
"sub86","X2","~","X2lag",0.133474469288284,0.133777786777316,0.0516830122603963,2.58842859435706,0.00964149343076692,"group"
"sub86","X3","~","X3lag",0.15030307535294,0.151041849129699,0.0531731770051124,2.84056469138898,0.0045033737996627,"group"
"sub86","X4","~","X4lag",0.163275131739557,0.164067517232154,0.0557424764402193,2.9433123124357,0.00324720652613686,"group"
"sub86","X5","~","X5lag",0.322175782172993,0.323152365751035,0.0511782519609734,6.31425172546844,2.71471733981343e-10,"group"
"sub86","X6","~","X6lag",0.203263229393271,0.203273632631509,0.0510034520480647,3.98548773600554,6.73416556198347e-05,"group"
"sub86","X7","~","X7lag",0.0857853609968019,0.0859690448201922,0.0496337866823138,1.73206701657574,0.0832616309803675,"group"
"sub86","X8","~","X8lag",0.166581642265611,0.166244526101373,0.0484671908646428,3.43004253260013,0.000603486644075613,"group"
"sub86","X8","~","X7",0.30521189954357,0.30394279902858,0.0448882878599627,6.7710936085775,1.27813315486947e-11,"group"
"sub86","X7","~","X6",0.331089507509509,0.329906789614755,0.0443908200670959,7.43186967747176,1.07025499573865e-13,"group"
"sub86","X3","~","X2",0.297362372185201,0.297919559541186,0.048851424783132,6.09848250821244,1.07080122546677e-09,"group"
"sub86","X4","~","X3",0.302992618633939,0.303560534460569,0.0517738778605256,5.86319872114534,4.54034299046668e-09,"group"
"sub86","X5","~","X4lag",0.0942200028376257,0.094388289611184,0.0551567211802909,1.71127448462096,0.0870304542500289,"group"
"sub86","X2","~","X1",0.427895678785806,0.429133508356071,0.0471424477653753,9.10291104297,0,"group"
"sub86","X6","~","X5",0.431031282419349,0.432018548174936,0.0470427854831442,9.18352397159245,0,"group"
"sub86","X8","~","X7lag",0.319241896704629,0.318595177318402,0.0499591822471272,6.37710953198643,1.80461423582301e-10,"group"
"sub86","X5","~","X4",0.358667310913382,0.357572603675878,0.0476784615218214,7.49966740248582,6.3948846218409e-14,"group"
"sub86","X7","~","X6lag",0.436722609386458,0.435184821042639,0.0498482053749318,8.73020037069357,0,"group"
"sub86","X3","~","X2lag",0.291278401371734,0.292487352172966,0.0523534403847127,5.58678379154567,2.31313410647971e-08,"group"
"sub86","X4","~","X3lag",0.182272906476162,0.183512142689887,0.0563240006837073,3.25815177299668,0.00112140412881589,"group"
"sub86","X8","~","X4lag",0.200308039167597,0.199573658252523,0.0443075550540804,4.50428054558483,6.6598178953825e-06,"ind"
"sub87","X1","~","X1lag",0.222015740228825,0.222014180015464,0.0549809587356337,4.03801943656494,5.39043877498813e-05,"group"
"sub87","X2","~","X2lag",0.162665527223531,0.162604531822187,0.0529826991962213,3.06901185271785,0.00214768070261551,"group"
"sub87","X3","~","X3lag",0.201295204147653,0.201465980190865,0.0524769873811238,3.83913006910403,0.000123471011174603,"group"
"sub87","X4","~","X4lag",0.140208641419046,0.138838429250938,0.0554141474521134,2.50546901169807,0.0122289113661405,"group"
"sub87","X5","~","X5lag",0.22414725624231,0.22601565692453,0.0550160254971226,4.10817856946702,3.98791725850778e-05,"group"
"sub87","X6","~","X6lag",0.155547503623635,0.156427258812121,0.0534005355421455,2.92932003816072,0.00339704458470003,"group"
"sub87","X7","~","X7lag",0.209703370931946,0.20800605432093,0.051710554488557,4.02250674699224,5.75820041881503e-05,"group"
"sub87","X8","~","X8lag",0.0988315162061169,0.0993310332958444,0.0508166160083332,1.95469594589997,0.0506189688958847,"group"
"sub87","X8","~","X7",0.255307698467079,0.25604672248541,0.0512499848669074,4.99603508469994,5.85210182757478e-07,"group"
"sub87","X7","~","X6",0.316888360708546,0.315929144119301,0.047631226376378,6.63281565800668,3.29343219362954e-11,"group"
"sub87","X3","~","X2",0.314268122392216,0.314964733566541,0.0483621543987341,6.51262826237504,7.38471506167571e-11,"group"
"sub87","X4","~","X3",0.243190123270518,0.241427282364071,0.0526973178581601,4.58139602121489,4.61882239211064e-06,"group"
"sub87","X5","~","X4lag",0.104559263763871,0.104929663583067,0.0572792824073833,1.83189556804821,0.066966980991183,"group"
"sub87","X2","~","X1",0.245693724020962,0.245694921128859,0.0507716300041356,4.83921672612926,1.303518396778e-06,"group"
"sub87","X6","~","X5",0.448867708920027,0.449359061530457,0.0517232779809597,8.68775296290916,0,"group"
"sub87","X8","~","X7lag",0.295046394938312,0.293505461682182,0.0524396547039879,5.5970136214467,2.18075579816457e-08,"group"
"sub87","X5","~","X4",0.403588120232794,0.409014992602132,0.0584800313957605,6.99409666581991,2.66964228501365e-12,"group"
"sub87","X7","~","X6lag",0.269503518791642,0.270207396156281,0.0529549022418625,5.10259456097482,3.35028249143221e-07,"group"
"sub87","X3","~","X2lag",0.254784518095541,0.25525352763873,0.0532013560168657,4.79787634656925,1.60356718859056e-06,"group"
"sub87","X4","~","X3lag",0.374698141071355,0.372297606856978,0.0543558347142607,6.84926666684603,7.4229511426438e-12,"group"
"sub87","X2","~","X1lag",0.279226912408612,0.279226310628369,0.0531633235586343,5.25223578846435,1.50263926634864e-07,"ind"
"sub87","X8","~","X5lag",0.247339441667577,0.249638938893973,0.0496403297738812,5.02895407889338,4.93162468639952e-07,"ind"
"sub87","X6","~","X5lag",0.231851479442874,0.234040010949158,0.0561312695547734,4.16951215972017,3.05252330310424e-05,"ind"
"sub87","X4","~","X6",-0.252208805578506,-0.248590342074644,0.0608977119882815,-4.08209658389924,4.46312403914462e-05,"ind"
"sub88","X1","~","X1lag",0.0294965252179819,0.0296313233333209,0.0577806831666943,0.512824039269942,0.608074412456046,"group"
"sub88","X2","~","X2lag",0.218541294665443,0.219118279164254,0.0513141416915586,4.27013435168302,1.95355251682017e-05,"group"
"sub88","X3","~","X3lag",0.175937786246736,0.176868347812614,0.0538163197904705,3.28651881996458,0.00101433995592259,"group"
"sub88","X4","~","X4lag",0.151341064667077,0.152144328185434,0.0550041615770315,2.76605121909478,0.00567396222824423,"group"
"sub88","X5","~","X5lag",0.175404497420293,0.175365852353605,0.0500919938155069,3.50087586849691,0.000463731788474142,"group"
"sub88","X6","~","X6lag",0.137670969808412,0.137048352313104,0.0531269853527278,2.57963728608341,0.00989041369660937,"group"
"sub88","X7","~","X7lag",0.210268146470596,0.20974117859242,0.0530447976967978,3.95403861828812,7.68429983888375e-05,"group"
"sub88","X8","~","X8lag",0.241929688363189,0.24197029768265,0.050477748020665,4.79360326422625,1.63812077080827e-06,"group"
"sub88","X8","~","X7",0.391808129304163,0.392240966061368,0.0449520602774977,8.72576170346785,0,"group"
"sub88","X7","~","X6",0.426987080319938,0.429706835343982,0.0437931041983235,9.81220315869802,0,"group"
"sub88","X3","~","X2",0.28775143761177,0.28841994979842,0.0498271387015717,5.78841084024202,7.10554481919701e-09,"group"
"sub88","X4","~","X3",0.315739033676868,0.31626442294054,0.0510038702709787,6.20079263123087,5.61795054920822e-10,"group"
"sub88","X5","~","X4lag",0.357678065480502,0.357048397898762,0.0515093003021089,6.9317268105881,4.15734113801136e-12,"group"
"sub88","X2","~","X1",0.353900403082096,0.353106203775919,0.0492026509196225,7.17656868433275,7.14761583253676e-13,"group"
"sub88","X6","~","X5",0.329037101854457,0.327769221088209,0.0490510541887265,6.68220543899219,2.35371722112632e-11,"group"
"sub88","X8","~","X7lag",0.241435689530602,0.241096659925757,0.0540083384748332,4.46406363784184,8.04196618187092e-06,"group"
"sub88","X5","~","X4",0.290628376693797,0.288585040668342,0.0469037741332371,6.15270404143968,7.61728680132023e-10,"group"
"sub88","X7","~","X6lag",0.205740359989263,0.206114464231759,0.0534010407149251,3.85974620479919,0.000113504847824464,"group"
"sub88","X3","~","X2lag",0.272727968445723,0.274083296634929,0.0520742466588063,5.263317555619,1.41478898374459e-07,"group"
"sub88","X4","~","X3lag",0.225632869030549,0.227203713978168,0.0561023565854161,4.04980695654468,5.12599005204617e-05,"group"
"sub88","X6","~","X5lag",0.271170206334152,0.270065790519314,0.0555891555249225,4.85824596486691,1.18430231532685e-06,"ind"
"sub89","X1","~","X1lag",0.129337099084167,0.129455284668905,0.0568623388213055,2.27664368635501,0.0228075118668223,"group"
"sub89","X2","~","X2lag",0.266431560773113,0.264496731208235,0.0511800311410795,5.16796737538398,2.36653605822923e-07,"group"
"sub89","X3","~","X3lag",0.061729005654804,0.0614552405980951,0.0534306527208218,1.15018697074884,0.250066871436408,"group"
"sub89","X4","~","X4lag",0.209095113547053,0.207377342529263,0.0517170284216332,4.00984644435829,6.07582472265111e-05,"group"
"sub89","X5","~","X5lag",0.280669511586468,0.282020160643071,0.0492027600380428,5.73179554205938,9.93730142617721e-09,"group"
"sub89","X6","~","X6lag",0.270895358331591,0.274260145498662,0.0462558216569123,5.92920276139291,3.04409009110884e-09,"group"
"sub89","X7","~","X7lag",0.262780578582293,0.261950124066726,0.0489835693342492,5.34771409325558,8.90720204260731e-08,"group"
"sub89","X8","~","X8lag",0.131939422257862,0.131980968676068,0.0512522318268852,2.57512627200043,0.010020349729378,"group"
